Company Name,Industry,Symbol,Series,ISIN Code,Index
Sun TV Network Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,SUNTV,EQ,INE424H01027,Nifty 200
Syngene International Ltd.,HEALTHCARE SERVICES,SYNGENE,EQ,INE398R01022,Nifty 200
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023,Nifty 200
Tata Chemicals Ltd.,CHEMICALS,TATACHEM,EQ,INE092A01019,Nifty 200
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029,Nifty 200
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,EQ,INE192A01025,Nifty 200
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012,Nifty 200
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022,Nifty 200
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021,Nifty 200
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012,Nifty 200
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036,Nifty 200
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037,Nifty 200
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028,Nifty 200
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,EQ,INE685A01028,Nifty 200
Torrent Power Ltd.,POWER,TORNTPOWER,EQ,INE813H01021,Nifty 200
Trent Ltd.,CONSUMER SERVICES,TRENT,EQ,INE849A01020,Nifty 200
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036,Nifty 200
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011,Nifty 200
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016,Nifty 200
United Breweries Ltd.,CONSUMER GOODS,UBL,EQ,INE686F01025,Nifty 200
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,EQ,INE854D01024,Nifty 200
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD,EQ,INE951I01027,Nifty 200
Varun Beverages Ltd.,CONSUMER GOODS,VBL,EQ,INE200M01013,Nifty 200
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025,Nifty 200
Vodafone Idea Ltd.,TELECOM,IDEA,EQ,INE669E01016,Nifty 200
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021,Nifty 200
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,EQ,INE716A01013,Nifty 200
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022,Nifty 200
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01035,Nifty 200
Zee Entertainment Enterprises Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,ZEEL,EQ,INE256A01028,Nifty 200
